"Timestamp","La aplicación funciona como espero.","La aplicación hace los cálculos correctos (sin errores).","Puedo usar la aplicación desde cualquiera de mis dispositivos.","La aplicación guarda mis datos. (Nunca ha perdido datos)","Puedo usar la aplicación para las asignaturas que curso.","La aplicación es fácil de aprender.","La aplicación es fácil de usar.","La aplicación responde rápidamente a mis acciones.","Sé cómo usar la aplicación en general.","Sé cómo crear una asignatura.","Entiendo toda la información de las tarjetas de las  asignaturas.","Disfruto usando la aplicación.","Recomendaría la aplicación.","Hay personas que usan la aplicación gracias a mí.","La aplicación me ayuda a lograr mis objetivos. (En relación con la gestión de tus notas)","La aplicación me ayuda a aprobar las asignaturas.","Abro la aplicación con frecuencia.","Abro la aplicación cuando recibo una nueva nota.","El logo, nombre y estilo de GradeCalc son fáciles de recordar.","Me gustan el logo, nombre y estilo de GradeCalc.","Si quieres, puedes dejar un comentario sobre cualquier otro aspecto de la app. (Errores, sugerencias...)"
"2020/06/20 5:55:14 PM GMT+2","5","5","5","3","5","4","5","5","5","1","5","5","5","1","5","1","5","5","4","5",""
"2020/06/20 6:20:58 PM GMT+2","5","5","5","3","3","5","5","5","5","5","5","4","5","5","5","3","5","5","5","5",""
"2020/06/21 1:02:57 AM GMT+2","4","5","4","3","3","5","5","4","5","5","4","3","5","3","4","4","4","5","5","5",""
"2020/06/21 12:09:09 PM GMT+2","4","5","3","4","3","5","5","5","5","5","5","4","4","4","5","2","3","3","5","5","la parte en la que la gente no suele estar conforme es porque a veces no está actualizado respecto a los cambios en como se evalua la nota de una asignatura. pero todo es fijarse. Es normal que no se pueda estar en todos lados. Por eso siempre hay que ver como son los porcentajes"
"2020/06/21 12:33:24 PM GMT+2","5","4","4","2","5","5","5","4","5","5","5","5","5","5","5","3","2","5","3","2",""
"2020/06/21 3:28:36 PM GMT+2","5","5","5","5","5","5","5","5","5","2","5","5","5","5","5","5","5","5","5","5",""
"2020/06/21 6:43:10 PM GMT+2","5","4","4","4","5","5","5","5","5","4","5","4","5","4","5","3","4","5","5","5",""
"2020/06/21 7:40:17 PM GMT+2","4","5","3","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"2020/06/21 8:07:07 PM GMT+2","4","5","4","5","5","5","5","5","5","3","3","4","5","2","5","5","5","4","4","4",""
"2020/06/21 8:22:46 PM GMT+2","4","5","5","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5",""
"2020/06/21 8:55:17 PM GMT+2","5","5","5","5","5","5","4","4","4","4","5","5","5","5","5","3","4","5","5","5",""
"2020/06/21 10:40:57 PM GMT+2","5","5","5","4","5","5","5","5","5","4","4","5","5","5","5","4","5","5","5","5",""
"2020/06/21 10:59:44 PM GMT+2","5","4","5","5","5","5","5","5","5","5","5","4","5","5","5","1","2","4","5","5","Plantillas de asignaturas ""oficiales"", a veces para la misma asignatura hay 4 opciones con valores distintos"
"2020/06/21 11:10:01 PM GMT+2","5","5","5","3","5","5","5","5","5","3","5","4","5","3","5","3","3","5","5","5",""
"2020/06/21 11:22:12 PM GMT+2","4","5","4","2","5","5","5","4","5","5","5","4","4","3","4","3","3","5","5","4",""
"2020/06/22 12:17:21 AM GMT+2","5","5","5","5","5","3","4","5","5","3","5","4","5","5","5","3","4","3","5","5",""
"2020/06/22 8:14:59 AM GMT+2","4","4","4","4","4","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4",""
"2020/06/22 9:43:04 AM GMT+2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","3","4","5","5","5",""
"2020/06/22 10:23:27 AM GMT+2","4","4","4","2","4","5","5","5","4","4","4","4","5","5","5","5","4","5","3","3",""
"2020/06/22 11:07:18 AM GMT+2","5","5","5","2","5","5","5","5","5","4","5","5","5","5","3","5","1","1","5","5",""
"2020/06/22 11:32:13 AM GMT+2","3","5","4","2","5","5","5","4","5","5","5","5","5","5","4","3","5","5","5","5","La aplicación en general está genial y la uso prácticamente a diario o para actualizar cuando hay notas nuevas pero probé a iniciar sesión para que se guardasen mis notas y actualmente la uso sin iniciar sesión porque cuando lo hacía las asignaturas me desaparecían, algunas notas se modificaban o borraban y los campos se ponían aleatoriamente desordenados cada vez que entraba o refrescaba página. Excepto por esos errores la página sin iniciar sesión me ha funcionado siempre perfectamente."
"2020/06/22 11:46:10 AM GMT+2","5","5","4","4","5","5","5","5","5","5","5","4","5","3","4","3","4","5","4","4",""
"2020/06/22 1:09:36 PM GMT+2","5","5","2","3","5","5","5","5","5","5","5","5","5","5","4","2","5","5","5","4","No he encontrado la app en play store y no puedo tener mis notas en el mobil. Cuando abro la web desde el chrome de mi móbil, no se me sincronizan las notas de mi cuenta. Por lo demás es una app maravillosa! "
"2020/06/22 2:41:30 PM GMT+2","5","5","5","5","5","5","5","5","5","5","5","5","5","4","2","3","4","4","5","5",""
"2020/06/22 3:51:59 PM GMT+2","5","4","5","4","5","5","5","5","5","5","5","4","5","5","5","3","4","5","5","4",""
